read	barcode	distance
read200	barcode200	3
read201	barcode201	5
read202	barcode202	1
read203	barcode203	3
read204	barcode204	3
read205	barcode205	7
read206	barcode206	8
read207	barcode207	5
read208	barcode208	5
read209	barcode209	6
read210	barcode210	7
read211	barcode211	8
read212	barcode212	8
read213	barcode213	6
read214	barcode214	8
read215	barcode215	10
read216	barcode216	4
read217	barcode217	7
read218	barcode218	5
read219	barcode219	8
read220	barcode220	6
read221	barcode221	5
read222	barcode222	2
read223	barcode223	5
read224	barcode224	8
read225	barcode225	5
read226	barcode226	8
read227	barcode227	9
read228	barcode228	7
read229	barcode229	11
read230	barcode230	6
read231	barcode231	8
read232	barcode232	11
read233	barcode233	7
read234	barcode234	6
read235	barcode235	3
read236	barcode236	8
read237	barcode237	8
read238	barcode238	8
read239	barcode239	5
read240	barcode240	11
read241	barcode241	5
read242	barcode242	2
read243	barcode243	3
read244	barcode244	2
read245	barcode245	6
read246	barcode246	7
read247	barcode247	7
read248	barcode248	7
read249	barcode249	5
read250	barcode250	8
read251	barcode251	3
read252	barcode252	6
read253	barcode253	9
read254	barcode254	7
read255	barcode255	8
read256	barcode256	7
read257	barcode257	8
read258	barcode258	7
read259	barcode259	6
read260	barcode260	8
read261	barcode261	5
read262	barcode262	4
read263	barcode263	8
read264	barcode264	9
read265	barcode265	7
read266	barcode266	8
read267	barcode267	5
read268	barcode268	7
read269	barcode269	4
read270	barcode270	2
read271	barcode271	7
read272	barcode272	8
read273	barcode273	10
read274	barcode274	9
read275	barcode275	5
read276	barcode276	9
read277	barcode277	5
read278	barcode278	6
read279	barcode279	6
read280	barcode280	4
read281	barcode281	10
read282	barcode282	7
read283	barcode283	7
read284	barcode284	5
read285	barcode285	3
read286	barcode286	8
read287	barcode287	6
read288	barcode288	7
read289	barcode289	8
read290	barcode290	10
read291	barcode291	6
read292	barcode292	5
read293	barcode293	7
read294	barcode294	5
read295	barcode295	3
read296	barcode296	9
read297	barcode297	6
read298	barcode298	4
read299	barcode299	8
read300	barcode300	8
read301	barcode301	11
read302	barcode302	6
read303	barcode303	4
read304	barcode304	3
read305	barcode305	5
read306	barcode306	5
read307	barcode307	3
read308	barcode308	6
read309	barcode309	8
read310	barcode310	5
read311	barcode311	7
read312	barcode312	5
read313	barcode313	4
read314	barcode314	8
read315	barcode315	6
read316	barcode316	7
read317	barcode317	6
read318	barcode318	7
read319	barcode319	7
read320	barcode320	6
read321	barcode321	7
read322	barcode322	5
read323	barcode323	6
read324	barcode324	6
read325	barcode325	3
read326	barcode326	7
read327	barcode327	7
read328	barcode328	3
read329	barcode329	10
read330	barcode330	6
read331	barcode331	3
read332	barcode332	7
read333	barcode333	8
read334	barcode334	8
read335	barcode335	11
read336	barcode336	6
read337	barcode337	8
read338	barcode338	6
read339	barcode339	6
read340	barcode340	6
read341	barcode341	8
read342	barcode342	2
read343	barcode343	6
read344	barcode344	6
read345	barcode345	6
read346	barcode346	6
read347	barcode347	6
read348	barcode348	8
read349	barcode349	13
read350	barcode350	9
read351	barcode351	9
read352	barcode352	3
read353	barcode353	7
read354	barcode354	6
read355	barcode355	8
read356	barcode356	6
read357	barcode357	6
read358	barcode358	8
read359	barcode359	2
read360	barcode360	7
read361	barcode361	7
read362	barcode362	7
read363	barcode363	4
read364	barcode364	8
read365	barcode365	11
read366	barcode366	11
read367	barcode367	10
read368	barcode368	7
read369	barcode369	4
read370	barcode370	2
read371	barcode371	7
read372	barcode372	8
read373	barcode373	7
read374	barcode374	8
read375	barcode375	6
read376	barcode376	6
read377	barcode377	5
read378	barcode378	8
read379	barcode379	13
read380	barcode380	7
read381	barcode381	8
read382	barcode382	6
read383	barcode383	7
read384	barcode384	13
read385	barcode385	7
read386	barcode386	6
read387	barcode387	7
read388	barcode388	8
read389	barcode389	9
read390	barcode390	8
read391	barcode391	9
read392	barcode392	8
read393	barcode393	5
read394	barcode394	5
read395	barcode395	8
read396	barcode396	5
read397	barcode397	5
read398	barcode398	8
read399	barcode399	5
read400	barcode400	8
read401	barcode401	5
read402	barcode402	5
read403	barcode403	6
read404	barcode404	9
read405	barcode405	6
read406	barcode406	4
read407	barcode407	4
read408	barcode408	9
read409	barcode409	5
read410	barcode410	9
read411	barcode411	7
read412	barcode412	5
read413	barcode413	7
read414	barcode414	8
read415	barcode415	8
read416	barcode416	8
read417	barcode417	5
read418	barcode418	3
read419	barcode419	8
read420	barcode420	7
read421	barcode421	7
read422	barcode422	11
read423	barcode423	7
read424	barcode424	5
read425	barcode425	5
read426	barcode426	10
read427	barcode427	4
read428	barcode428	9
read429	barcode429	8
read430	barcode430	4
read431	barcode431	9
read432	barcode432	12
read433	barcode433	11
read434	barcode434	9
read435	barcode435	5
read436	barcode436	4
read437	barcode437	6
read438	barcode438	5
read439	barcode439	7
read440	barcode440	4
read441	barcode441	7
read442	barcode442	11
read443	barcode443	8
read444	barcode444	8
read445	barcode445	7
read446	barcode446	7
read447	barcode447	10
read448	barcode448	15
read449	barcode449	7
read450	barcode450	4
read451	barcode451	9
read452	barcode452	9
read453	barcode453	7
read454	barcode454	10
read455	barcode455	5
read456	barcode456	9
read457	barcode457	7
read458	barcode458	6
read459	barcode459	9
read460	barcode460	8
read461	barcode461	4
read462	barcode462	6
read463	barcode463	8
read464	barcode464	7
read465	barcode465	3
read466	barcode466	6
read467	barcode467	5
read468	barcode468	6
read469	barcode469	3
read470	barcode470	4
read471	barcode471	5
read472	barcode472	4
read473	barcode473	3
read474	barcode474	6
read475	barcode475	7
read476	barcode476	8
read477	barcode477	8
read478	barcode478	4
read479	barcode479	6
read480	barcode480	6
read481	barcode481	6
read482	barcode482	7
read483	barcode483	5
read484	barcode484	6
read485	barcode485	7
read486	barcode486	6
read487	barcode487	8
read488	barcode488	6
read489	barcode489	5
read490	barcode490	7
read491	barcode491	7
read492	barcode492	6
read493	barcode493	9
read494	barcode494	5
read495	barcode495	6
read496	barcode496	5
read497	barcode497	6
read498	barcode498	6
read499	barcode499	5
read500	barcode500	4
read501	barcode501	5
read502	barcode502	3
read503	barcode503	8
read504	barcode504	9
read505	barcode505	6
read506	barcode506	5
read507	barcode507	7
read508	barcode508	8
read509	barcode509	7
read510	barcode510	8
read511	barcode511	11
read512	barcode512	6
read513	barcode513	8
read514	barcode514	7
read515	barcode515	9
read516	barcode516	6
read517	barcode517	9
read518	barcode518	8
read519	barcode519	4
read520	barcode520	5
read521	barcode521	6
read522	barcode522	10
read523	barcode523	5
read524	barcode524	7
read525	barcode525	9
read526	barcode526	10
read527	barcode527	8
read528	barcode528	8
read529	barcode529	8
read530	barcode530	6
read531	barcode531	5
read532	barcode532	5
read533	barcode533	12
read534	barcode534	5
read535	barcode535	7
read536	barcode536	6
read537	barcode537	5
read538	barcode538	6
read539	barcode539	7
read540	barcode540	1
read541	barcode541	6
read542	barcode542	5
read543	barcode543	5
read544	barcode544	5
read545	barcode545	7
read546	barcode546	4
read547	barcode547	4
read548	barcode548	4
read549	barcode549	6
read550	barcode550	7
read551	barcode551	9
read552	barcode552	10
read553	barcode553	5
read554	barcode554	10
read555	barcode555	4
read556	barcode556	5
read557	barcode557	2
read558	barcode558	6
read559	barcode559	6
read560	barcode560	7
read561	barcode561	6
read562	barcode562	6
read563	barcode563	3
read564	barcode564	2
read565	barcode565	4
read566	barcode566	4
read567	barcode567	7
read568	barcode568	7
read569	barcode569	11
read570	barcode570	4
read571	barcode571	6
read572	barcode572	6
read573	barcode573	2
read574	barcode574	6
read575	barcode575	4
read576	barcode576	7
read577	barcode577	3
read578	barcode578	7
read579	barcode579	5
read580	barcode580	8
read581	barcode581	6
read582	barcode582	13
read583	barcode583	7
read584	barcode584	6
read585	barcode585	4
read586	barcode586	7
read587	barcode587	7
read588	barcode588	7
read589	barcode589	6
read590	barcode590	6
read591	barcode591	8
read592	barcode592	9
read593	barcode593	4
read594	barcode594	6
read595	barcode595	7
read596	barcode596	12
read597	barcode597	4
read598	barcode598	9
read599	barcode599	2
read600	barcode600	6
read601	barcode601	10
read602	barcode602	5
read603	barcode603	8
read604	barcode604	7
read605	barcode605	6
read606	barcode606	7
read607	barcode607	7
read608	barcode608	5
read609	barcode609	9
read610	barcode610	6
read611	barcode611	8
read612	barcode612	7
read613	barcode613	7
read614	barcode614	7
read615	barcode615	7
read616	barcode616	7
read617	barcode617	8
read618	barcode618	8
read619	barcode619	5
read620	barcode620	4
read621	barcode621	6
read622	barcode622	7
read623	barcode623	11
read624	barcode624	9
read625	barcode625	4
read626	barcode626	4
read627	barcode627	5
read628	barcode628	8
read629	barcode629	10
read630	barcode630	7
read631	barcode631	10
read632	barcode632	11
read633	barcode633	5
read634	barcode634	6
read635	barcode635	5
read636	barcode636	9
read637	barcode637	8
read638	barcode638	8
read639	barcode639	6
read640	barcode640	7
read641	barcode641	8
read642	barcode642	3
read643	barcode643	7
read644	barcode644	7
read645	barcode645	7
read646	barcode646	8
read647	barcode647	6
read648	barcode648	8
read649	barcode649	9
read650	barcode650	9
read651	barcode651	7
read652	barcode652	11
read653	barcode653	7
read654	barcode654	4
read655	barcode655	5
read656	barcode656	4
read657	barcode657	6
read658	barcode658	11
read659	barcode659	7
read660	barcode660	6
read661	barcode661	9
read662	barcode662	8
read663	barcode663	4
read664	barcode664	8
read665	barcode665	5
read666	barcode666	6
read667	barcode667	6
read668	barcode668	7
read669	barcode669	5
read670	barcode670	9
read671	barcode671	8
read672	barcode672	5
read673	barcode673	6
read674	barcode674	4
read675	barcode675	8
read676	barcode676	11
read677	barcode677	8
read678	barcode678	7
read679	barcode679	5
read680	barcode680	8
read681	barcode681	9
read682	barcode682	9
read683	barcode683	7
read684	barcode684	4
read685	barcode685	6
read686	barcode686	7
read687	barcode687	4
read688	barcode688	9
read689	barcode689	6
read690	barcode690	6
read691	barcode691	5
read692	barcode692	7
read693	barcode693	5
read694	barcode694	8
read695	barcode695	8
read696	barcode696	7
read697	barcode697	6
read698	barcode698	6
read699	barcode699	6
read700	barcode700	5
read701	barcode701	3
read702	barcode702	6
read703	barcode703	6
read704	barcode704	9
read705	barcode705	6
read706	barcode706	11
read707	barcode707	9
read708	barcode708	5
read709	barcode709	7
read710	barcode710	2
read711	barcode711	3
read712	barcode712	6
read713	barcode713	3
read714	barcode714	10
read715	barcode715	4
read716	barcode716	4
read717	barcode717	5
read718	barcode718	10
read719	barcode719	4
read720	barcode720	4
read721	barcode721	4
read722	barcode722	7
read723	barcode723	5
read724	barcode724	6
read725	barcode725	7
read726	barcode726	5
read727	barcode727	5
read728	barcode728	8
read729	barcode729	7
read730	barcode730	6
read731	barcode731	8
read732	barcode732	5
read733	barcode733	4
read734	barcode734	7
read735	barcode735	6
read736	barcode736	8
read737	barcode737	6
read738	barcode738	6
read739	barcode739	8
read740	barcode740	10
read741	barcode741	5
read742	barcode742	7
read743	barcode743	2
read744	barcode744	7
read745	barcode745	3
read746	barcode746	8
read747	barcode747	6
read748	barcode748	4
read749	barcode749	5
read750	barcode750	7
read751	barcode751	6
read752	barcode752	6
read753	barcode753	6
read754	barcode754	5
read755	barcode755	8
read756	barcode756	7
read757	barcode757	5
read758	barcode758	6
read759	barcode759	6
read760	barcode760	9
read761	barcode761	5
read762	barcode762	11
read763	barcode763	6
read764	barcode764	5
read765	barcode765	6
read766	barcode766	6
read767	barcode767	2
read768	barcode768	7
read769	barcode769	5
read770	barcode770	4
read771	barcode771	8
read772	barcode772	5
read773	barcode773	9
read774	barcode774	4
read775	barcode775	8
read776	barcode776	5
read777	barcode777	5
read778	barcode778	9
read779	barcode779	7
read780	barcode780	8
read781	barcode781	7
read782	barcode782	6
read783	barcode783	6
read784	barcode784	5
read785	barcode785	6
read786	barcode786	6
read787	barcode787	10
read788	barcode788	9
read789	barcode789	4
read790	barcode790	6
read791	barcode791	8
read792	barcode792	8
read793	barcode793	6
read794	barcode794	7
read795	barcode795	10
read796	barcode796	7
read797	barcode797	5
read798	barcode798	8
read799	barcode799	6
read800	barcode800	7
read801	barcode801	9
read802	barcode802	8
read803	barcode803	6
read804	barcode804	8
read805	barcode805	7
read806	barcode806	6
read807	barcode807	8
read808	barcode808	5
read809	barcode809	4
read810	barcode810	8
read811	barcode811	4
read812	barcode812	5
read813	barcode813	5
read814	barcode814	3
read815	barcode815	9
read816	barcode816	8
read817	barcode817	2
read818	barcode818	4
read819	barcode819	9
read820	barcode820	5
read821	barcode821	11
read822	barcode822	5
read823	barcode823	4
read824	barcode824	9
read825	barcode825	6
read826	barcode826	10
read827	barcode827	8
read828	barcode828	6
read829	barcode829	3
read830	barcode830	5
read831	barcode831	6
read832	barcode832	10
read833	barcode833	8
read834	barcode834	5
read835	barcode835	6
read836	barcode836	7
read837	barcode837	7
read838	barcode838	8
read839	barcode839	9
read840	barcode840	4
read841	barcode841	4
read842	barcode842	4
read843	barcode843	11
read844	barcode844	10
read845	barcode845	6
read846	barcode846	9
read847	barcode847	7
read848	barcode848	8
read849	barcode849	5
read850	barcode850	6
read851	barcode851	5
read852	barcode852	7
read853	barcode853	10
read854	barcode854	5
read855	barcode855	5
read856	barcode856	9
read857	barcode857	2
read858	barcode858	8
read859	barcode859	3
read860	barcode860	3
read861	barcode861	7
read862	barcode862	6
read863	barcode863	5
read864	barcode864	10
read865	barcode865	7
read866	barcode866	8
read867	barcode867	4
read868	barcode868	5
read869	barcode869	7
read870	barcode870	3
read871	barcode871	7
read872	barcode872	5
read873	barcode873	3
read874	barcode874	10
read875	barcode875	6
read876	barcode876	2
read877	barcode877	8
read878	barcode878	7
read879	barcode879	4
read880	barcode880	6
read881	barcode881	4
read882	barcode882	4
read883	barcode883	6
read884	barcode884	8
read885	barcode885	10
read886	barcode886	5
read887	barcode887	10
read888	barcode888	6
read889	barcode889	6
read890	barcode890	8
read891	barcode891	7
read892	barcode892	7
read893	barcode893	8
read894	barcode894	10
read895	barcode895	4
read896	barcode896	6
read897	barcode897	6
read898	barcode898	3
read899	barcode899	7
read900	barcode900	5
read901	barcode901	6
read902	barcode902	6
read903	barcode903	10
read904	barcode904	3
read905	barcode905	6
read906	barcode906	5
read907	barcode907	8
read908	barcode908	5
read909	barcode909	8
read910	barcode910	6
read911	barcode911	4
read912	barcode912	8
read913	barcode913	5
read914	barcode914	4
read915	barcode915	8
read916	barcode916	8
read917	barcode917	6
read918	barcode918	8
read919	barcode919	10
read920	barcode920	6
read921	barcode921	6
read922	barcode922	9
read923	barcode923	9
read924	barcode924	5
read925	barcode925	4
read926	barcode926	4
read927	barcode927	7
read928	barcode928	4
read929	barcode929	4
read930	barcode930	6
read931	barcode931	7
read932	barcode932	13
read933	barcode933	4
read934	barcode934	8
read935	barcode935	7
read936	barcode936	8
read937	barcode937	8
read938	barcode938	8
read939	barcode939	7
read940	barcode940	5
read941	barcode941	3
read942	barcode942	9
read943	barcode943	3
read944	barcode944	8
read945	barcode945	2
read946	barcode946	11
read947	barcode947	6
read948	barcode948	6
read949	barcode949	10
read950	barcode950	9
read951	barcode951	11
read952	barcode952	5
read953	barcode953	7
read954	barcode954	8
read955	barcode955	5
read956	barcode956	7
read957	barcode957	5
read958	barcode958	6
read959	barcode959	9
read960	barcode960	5
read961	barcode961	12
read962	barcode962	6
read963	barcode963	5
read964	barcode964	8
read965	barcode965	8
read966	barcode966	6
read967	barcode967	9
read968	barcode968	9
read969	barcode969	7
read970	barcode970	1
read971	barcode971	8
read972	barcode972	7
read973	barcode973	6
read974	barcode974	7
read975	barcode975	4
read976	barcode976	10
read977	barcode977	12
read978	barcode978	6
read979	barcode979	5
read980	barcode980	9
read981	barcode981	7
read982	barcode982	6
read983	barcode983	2
read984	barcode984	5
read985	barcode985	6
read986	barcode986	3
read987	barcode987	7
read988	barcode988	8
read989	barcode989	11
read990	barcode990	6
read991	barcode991	6
read992	barcode992	8
read993	barcode993	5
read994	barcode994	8
read995	barcode995	6
read996	barcode996	7
read997	barcode997	4
read998	barcode998	4
read999	barcode999	10
read1000	barcode1000	6
read1001	barcode1001	5
read1002	barcode1002	4
read1003	barcode1003	7
read1004	barcode1004	6
read1005	barcode1005	10
read1006	barcode1006	9
read1007	barcode1007	7
read1008	barcode1008	9
read1009	barcode1009	7
read1010	barcode1010	10
read1011	barcode1011	6
read1012	barcode1012	6
read1013	barcode1013	6
read1014	barcode1014	6
read1015	barcode1015	10
read1016	barcode1016	9
read1017	barcode1017	8
read1018	barcode1018	7
read1019	barcode1019	9
read1020	barcode1020	12
read1021	barcode1021	6
read1022	barcode1022	6
read1023	barcode1023	6
read1024	barcode1024	4
read1025	barcode1025	6
read1026	barcode1026	9
read1027	barcode1027	8
read1028	barcode1028	8
read1029	barcode1029	3
read1030	barcode1030	8
read1031	barcode1031	10
read1032	barcode1032	7
read1033	barcode1033	7
read1034	barcode1034	5
read1035	barcode1035	7
read1036	barcode1036	6
read1037	barcode1037	5
read1038	barcode1038	9
read1039	barcode1039	8
read1040	barcode1040	6
read1041	barcode1041	7
read1042	barcode1042	4
read1043	barcode1043	4
read1044	barcode1044	8
read1045	barcode1045	3
read1046	barcode1046	5
read1047	barcode1047	7
read1048	barcode1048	4
read1049	barcode1049	6
read1050	barcode1050	4
read1051	barcode1051	6
read1052	barcode1052	6
read1053	barcode1053	2
read1054	barcode1054	7
read1055	barcode1055	10
read1056	barcode1056	6
read1057	barcode1057	8
read1058	barcode1058	7
read1059	barcode1059	3
read1060	barcode1060	5
read1061	barcode1061	11
read1062	barcode1062	8
read1063	barcode1063	5
read1064	barcode1064	3
read1065	barcode1065	5
read1066	barcode1066	6
read1067	barcode1067	6
read1068	barcode1068	4
read1069	barcode1069	9
read1070	barcode1070	8
read1071	barcode1071	5
read1072	barcode1072	8
read1073	barcode1073	7
read1074	barcode1074	8
read1075	barcode1075	7
read1076	barcode1076	5
read1077	barcode1077	8
read1078	barcode1078	5
read1079	barcode1079	7
read1080	barcode1080	5
read1081	barcode1081	6
read1082	barcode1082	6
read1083	barcode1083	6
read1084	barcode1084	3
read1085	barcode1085	9
read1086	barcode1086	7
read1087	barcode1087	8
read1088	barcode1088	3
read1089	barcode1089	6
read1090	barcode1090	8
read1091	barcode1091	4
read1092	barcode1092	8
read1093	barcode1093	7
read1094	barcode1094	8
read1095	barcode1095	11
read1096	barcode1096	5
read1097	barcode1097	8
read1098	barcode1098	14
read1099	barcode1099	4
read1100	barcode1100	5
read1101	barcode1101	8
read1102	barcode1102	7
read1103	barcode1103	6
read1104	barcode1104	9
read1105	barcode1105	6
read1106	barcode1106	10
read1107	barcode1107	10
read1108	barcode1108	2
read1109	barcode1109	9
read1110	barcode1110	3
read1111	barcode1111	4
read1112	barcode1112	10
read1113	barcode1113	7
read1114	barcode1114	2
read1115	barcode1115	9
read1116	barcode1116	9
read1117	barcode1117	6
read1118	barcode1118	5
read1119	barcode1119	5
read1120	barcode1120	7
read1121	barcode1121	4
read1122	barcode1122	9
read1123	barcode1123	8
read1124	barcode1124	7
read1125	barcode1125	6
read1126	barcode1126	5
read1127	barcode1127	11
read1128	barcode1128	4
read1129	barcode1129	6
read1130	barcode1130	11
read1131	barcode1131	5
read1132	barcode1132	4
read1133	barcode1133	6
read1134	barcode1134	5
read1135	barcode1135	7
read1136	barcode1136	8
read1137	barcode1137	4
read1138	barcode1138	8
read1139	barcode1139	8
read1140	barcode1140	3
read1141	barcode1141	6
read1142	barcode1142	3
read1143	barcode1143	9
read1144	barcode1144	9
read1145	barcode1145	5
read1146	barcode1146	7
read1147	barcode1147	8
read1148	barcode1148	6
read1149	barcode1149	5
read1150	barcode1150	8
read1151	barcode1151	3
read1152	barcode1152	1
read1153	barcode1153	5
read1154	barcode1154	7
read1155	barcode1155	6
read1156	barcode1156	4
read1157	barcode1157	5
read1158	barcode1158	2
read1159	barcode1159	5
read1160	barcode1160	5
read1161	barcode1161	7
read1162	barcode1162	8
read1163	barcode1163	4
read1164	barcode1164	3
read1165	barcode1165	6
read1166	barcode1166	6
read1167	barcode1167	6
read1168	barcode1168	9
read1169	barcode1169	8
read1170	barcode1170	10
read1171	barcode1171	7
read1172	barcode1172	4
read1173	barcode1173	8
read1174	barcode1174	4
read1175	barcode1175	6
read1176	barcode1176	5
read1177	barcode1177	9
read1178	barcode1178	9
read1179	barcode1179	8
read1180	barcode1180	11
read1181	barcode1181	3
read1182	barcode1182	7
read1183	barcode1183	10
read1184	barcode1184	6
read1185	barcode1185	7
read1186	barcode1186	7
read1187	barcode1187	1
read1188	barcode1188	6
read1189	barcode1189	11
read1190	barcode1190	5
read1191	barcode1191	9
read1192	barcode1192	6
read1193	barcode1193	8
read1194	barcode1194	7
read1195	barcode1195	8
read1196	barcode1196	5
read1197	barcode1197	8
read1198	barcode1198	7
read1199	barcode1199	8
read1200	barcode1200	8
read1201	barcode1201	9
read1202	barcode1202	9
read1203	barcode1203	7
read1204	barcode1204	9
read1205	barcode1205	3
read1206	barcode1206	9
read1207	barcode1207	5
read1208	barcode1208	7
read1209	barcode1209	2
read1210	barcode1210	6
read1211	barcode1211	4
read1212	barcode1212	6
read1213	barcode1213	4
read1214	barcode1214	7
read1215	barcode1215	4
read1216	barcode1216	7
read1217	barcode1217	5
read1218	barcode1218	4
read1219	barcode1219	2
read1220	barcode1220	5
read1221	barcode1221	6
read1222	barcode1222	6
read1223	barcode1223	7
read1224	barcode1224	6
read1225	barcode1225	7
read1226	barcode1226	5
read1227	barcode1227	3
read1228	barcode1228	7
read1229	barcode1229	9
read1230	barcode1230	5
read1231	barcode1231	8
read1232	barcode1232	8
read1233	barcode1233	7
read1234	barcode1234	6
read1235	barcode1235	7
read1236	barcode1236	7
read1237	barcode1237	7
read1238	barcode1238	4
read1239	barcode1239	8
read1240	barcode1240	6
read1241	barcode1241	8
read1242	barcode1242	4
read1243	barcode1243	7
read1244	barcode1244	11
read1245	barcode1245	5
read1246	barcode1246	9
read1247	barcode1247	4
read1248	barcode1248	6
read1249	barcode1249	12
read1250	barcode1250	9
read1251	barcode1251	5
read1252	barcode1252	3
read1253	barcode1253	5
read1254	barcode1254	9
read1255	barcode1255	7
read1256	barcode1256	7
read1257	barcode1257	5
read1258	barcode1258	7
read1259	barcode1259	7
read1260	barcode1260	8
read1261	barcode1261	7
read1262	barcode1262	4
read1263	barcode1263	5
read1264	barcode1264	7
read1265	barcode1265	5
read1266	barcode1266	5
read1267	barcode1267	12
read1268	barcode1268	6
read1269	barcode1269	4
read1270	barcode1270	8
read1271	barcode1271	3
read1272	barcode1272	5
read1273	barcode1273	5
read1274	barcode1274	8
read1275	barcode1275	6
read1276	barcode1276	4
read1277	barcode1277	6
read1278	barcode1278	10
read1279	barcode1279	2
read1280	barcode1280	8
read1281	barcode1281	7
read1282	barcode1282	9
read1283	barcode1283	8
read1284	barcode1284	11
read1285	barcode1285	8
read1286	barcode1286	5
read1287	barcode1287	7
read1288	barcode1288	5
read1289	barcode1289	10
read1290	barcode1290	12
read1291	barcode1291	4
read1292	barcode1292	9
read1293	barcode1293	7
read1294	barcode1294	6
read1295	barcode1295	9
read1296	barcode1296	7
read1297	barcode1297	6
read1298	barcode1298	4
read1299	barcode1299	4
read1300	barcode1300	7
read1301	barcode1301	7
read1302	barcode1302	7
read1303	barcode1303	7
read1304	barcode1304	2
read1305	barcode1305	9
read1306	barcode1306	4
read1307	barcode1307	3
read1308	barcode1308	7
read1309	barcode1309	7
read1310	barcode1310	7
read1311	barcode1311	9
read1312	barcode1312	3
read1313	barcode1313	5
read1314	barcode1314	6
read1315	barcode1315	4
read1316	barcode1316	7
read1317	barcode1317	7
read1318	barcode1318	7
read1319	barcode1319	5
read1320	barcode1320	2
read1321	barcode1321	5
read1322	barcode1322	2
read1323	barcode1323	6
read1324	barcode1324	7
read1325	barcode1325	8
read1326	barcode1326	9
read1327	barcode1327	7
read1328	barcode1328	6
read1329	barcode1329	9
read1330	barcode1330	3
read1331	barcode1331	8
